id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
26f6907f3,48000,0,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62c4f6ac9,48000,2880,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26b8b9cf8,48000,5760,2880,1866.6681,5.3037854e-09,3547.3958,0.15546095,1078.7195,-5.201421e-07,0.2799982,0.16313665,3.9621536e-08
7675e3a45,48000,8640,2880,10099.441,0.022126045,20971.354,0.7203929,6378.518,0.26766673,2.3506536,10.525816,8.946689e-05
3a7b8a5ba,48000,11520,2880,4796.1064,0.21788059,17664.584,0.26213655,4781.6997,1.7698894,5.5829325,21.249266,0.0011517088
ae4d95969,48000,14400,2880,4690.9424,0.3698947,18021.875,0.28844547,5251.4253,1.5128404,4.5460205,48.751953,0.0017885874
7c6b000ac,48000,17280,2880,4528.85,0.37454614,18284.896,0.3058006,5625.1133,1.4382898,4.063303,62.268513,0.0019075568
4ee334b42,48000,20160,2880,4777.9937,0.2650032,18801.562,0.322906,6109.6445,1.3207474,3.4867094,82.05818,0.001823684
1822a66bd,48000,23040,2880,5305.104,0.11051289,18814.062,0.35597187,6342.729,1.1643143,2.981667,61.502903,0.0011344495
e8095b6d1,48000,25920,2880,5381.887,0.12639312,19127.604,0.3542641,6482.05,1.1237503,2.8754802,53.883595,0.0011001941
9939db625,48000,28800,2880,5513.3145,0.12123648,18977.604,0.37781537,6392.551,1.0944024,2.8482528,50.866318,0.0009956406
0f6744d3b,48000,31680,2880,5559.282,0.19737282,19139.062,0.36572278,6445.7085,1.0713401,2.7853096,49.07157,0.001117418
549ff18b0,48000,34560,2880,5540.753,0.22841759,18899.479,0.36641824,6204.757,1.1086991,2.9873555,50.86602,0.0012842864
8c20e4fa7,48000,37440,2880,4443.1484,1.2389145,17867.188,0.29068738,5681.1465,1.4723358,4.109519,42.615643,0.002018223
1250bd56e,48000,40320,2880,2947.451,2.1571991,15429.6875,0.19385156,4718.8374,2.2005858,7.12539,51.519146,0.0039546555
aade16f7a,48000,43200,2880,3868.3923,0.49172866,18170.312,0.2617304,5531.295,1.7325037,4.8797264,43.49625,0.0018726912
b8ba1e412,48000,46080,2880,5015.6997,0.26339749,18676.562,0.34187788,6064.367,1.3011438,3.4827514,45.089954,0.0012934647
019586638,48000,48960,2880,5539.288,0.16299826,18834.896,0.36277497,6162.531,1.1148716,2.9967523,40.86642,0.0011962262
ff97b3cc1,48000,51840,2880,5195.0215,0.20035884,18848.959,0.34639105,6204.652,1.1966875,3.1495626,70.961754,0.0014703065
d2deb28cf,48000,54720,2880,4893.7866,0.30711317,18839.584,0.327009,6138.0645,1.3136189,3.4315877,66.457726,0.0015323365
67ce3c4a9,48000,57600,2880,4173.5396,0.36721963,18376.041,0.28080702,5834.239,1.5518209,4.1661477,71.31852,0.0018580457
0bd3418df,48000,60480,2880,3836.3955,0.6237877,18053.125,0.26244766,5600.924,1.6874244,4.7322474,80.04412,0.0023999922
e86cbd769,48000,63360,2880,3600.514,1.3236314,16050.0,0.23565432,4728.433,1.9659263,6.278799,29.614307,0.002884602
1d0b2d1ef,48000,66240,2880,4006.6594,0.66691226,17575.0,0.26433206,5061.312,1.754853,5.3285613,41.383972,0.0023579723
c6e4aab61,48000,69120,2880,4258.954,0.5999092,18095.834,0.2812769,5336.993,1.6243728,4.7144327,48.07366,0.0020470938
8e493ffbc,48000,72000,2880,4612.3594,0.2648066,18460.416,0.31339818,5749.3574,1.4457567,3.9617085,60.761818,0.00169315
ed835927f,48000,74880,2880,4549.8374,0.24808335,18501.562,0.30812457,5881.5312,1.4199836,3.8094435,63.785492,0.0017222064
288bad870,48000,77760,2880,4627.865,0.44535333,18667.188,0.3180246,6008.2236,1.4047481,3.7288957,72.28142,0.0017752615
7acc9fcf4,48000,80640,2880,5549.585,0.2473779,19042.188,0.36436594,6442.11,1.0627751,2.780464,61.66912,0.0013116711
eca72f2e7,48000,83520,2880,6183.8506,0.20389144,18935.938,0.38284284,6379.2466,0.7924767,2.4070594,56.185287,0.0013707972
a51b92d5a,48000,86400,2880,5811.0063,0.4097368,18280.209,0.36216414,6039.937,0.89379597,2.6056936,44.823,0.0019222124
30af96425,48000,89280,2880,5737.2114,0.5294286,18129.166,0.3456455,5674.038,1.0018904,3.0733523,38.81409,0.0021562113
634b79348,48000,92160,2880,5140.348,0.47447723,18509.375,0.33006078,5806.616,1.19531,3.3984265,61.298794,0.0018843982
a355fe08a,48000,95040,2880,5444.963,0.24271764,18669.791,0.36694476,6065.515,1.0871565,3.0120463,56.193554,0.0012930271
f0d666aec,48000,97920,2880,5600.0366,0.11210855,19106.25,0.3777497,6389.48,1.0716546,2.8047242,57.518353,0.0010326122
e9a45b0fd,48000,100800,2880,5243.5186,0.21436611,19031.25,0.35486585,6384.725,1.1628394,2.9840033,65.59211,0.0012331562
f11ab8294,48000,103680,2880,5467.266,0.10330203,19029.688,0.37904045,6332.656,1.1106868,2.90333,46.87228,0.00097121147
a3dd490a0,48000,106560,2880,5493.163,0.13634038,19123.438,0.37052283,6421.8735,1.1082325,2.8658948,54.436047,0.0010067605
17a2da89c,48000,109440,2880,4936.076,0.25075623,18891.146,0.33217293,6290.589,1.2524536,3.2223878,87.03569,0.0015717325
8b867f6e8,48000,112320,2880,4893.8555,0.2195307,18609.896,0.3301761,5990.652,1.3331478,3.592452,51.006077,0.0013044968
b897dddaa,48000,115200,2880,2722.4666,2.8891916,15466.667,0.17104045,4607.2856,2.5716212,9.04539,80.33951,0.0045481822
8a357eefa,48000,118080,2880,1665.1038,14.290777,7137.5,0.08048331,3121.8552,4.2952547,22.41301,183.51501,0.018247027
50416b64e,48000,120960,2880,1623.7927,32.52975,6711.4585,0.07453199,3079.8083,4.3860445,22.971903,179.40744,0.020580592
deb380090,48000,123840,2880,1434.8817,32.47273,5009.375,0.05791699,2709.6267,5.057472,30.003304,237.56326,0.03142299
7174834a0,48000,126720,2880,1257.0669,88.48718,3428.125,0.044140153,2326.0806,6.151626,44.94216,315.43973,0.04957671
dd09ad0ff,48000,129600,2880,1074.3042,340.05252,2031.25,0.028468264,1888.5575,7.4990206,65.89176,288.0373,0.08006287
9362af98e,48000,132480,2880,1123.8778,2334.2844,1822.9166,0.020779122,1558.5042,8.699741,90.759865,184.33708,0.107634075
1b91fbbbd,48000,135360,2880,1242.5759,2883.6338,1621.875,0.016575066,1299.4812,9.784275,118.74334,86.923294,0.111912094
858738431,48000,138240,2880,1326.4374,340.8636,2246.3542,0.031383757,1873.1271,7.1856647,61.49797,79.10143,0.038661394
9b4958ae1,48000,141120,2880,1555.2733,74.26245,5022.396,0.054854482,2713.6787,4.985396,29.360865,75.07375,0.021572981
05d0b6314,48000,144000,2880,1516.2438,954.71295,4442.1875,0.05208664,2409.934,5.4461255,36.811325,129.15668,0.05091421
e710196e1,48000,146880,2880,1390.2036,3862.8315,2478.6458,0.025459768,1627.9293,7.627633,71.84599,178.26758,0.14472525
fa3226662,48000,149760,2880,1500.2279,798.3986,3124.4792,0.036196448,1920.2167,6.6428003,54.134857,124.54833,0.05450969
be39d4898,48000,152640,2880,1385.1046,152.87923,3101.5625,0.04066471,2142.1719,6.1236825,45.647423,116.351456,0.036542997
b8ed2af1b,48000,155520,2880,1284.152,130.8944,3003.125,0.04039775,2244.2712,6.041777,43.8081,121.832466,0.03157991
9bfd757b4,48000,158400,2880,1083.8346,273.86237,1914.5834,0.02724884,1843.7153,7.6031303,67.70169,235.56711,0.060791407
2792931d0,48000,161280,2880,902.4308,213.59438,1333.3334,0.016383119,1479.4042,9.616172,107.58743,365.38107,0.13406521
b1680f288,48000,164160,2880,847.71277,343.43066,1178.125,0.01164851,1208.0302,11.295381,153.3255,378.925,0.21223429
