id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
ea7a52415,48000,0,6720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c964ba4c,48000,6720,6720,6536.5254,0.07735663,15620.536,0.44784364,4558.615,0.6280304,2.7351265,10.11622,0.00036628946
f23f2f467,48000,13440,6720,4598.6206,0.34454945,18018.08,0.29454342,5348.0166,1.5099777,4.4746914,51.151787,0.0017497216
efd199d14,48000,20160,6720,5063.2427,0.18356027,18836.383,0.34115076,6245.52,1.2330865,3.204474,69.561646,0.0014261319
c97e4efc6,48000,26880,6720,5501.4854,0.12921646,19104.688,0.36830655,6463.646,1.0953057,2.823475,50.826233,0.0010316223
04f0ed013,48000,33600,6720,5087.3364,0.6677306,18470.312,0.33359367,6001.656,1.2525748,3.432462,47.12536,0.0016024868
00c2df06f,48000,40320,6720,3513.3357,1.1862103,16996.205,0.23520246,5190.173,1.9167323,5.7914877,50.12433,0.0027690334
8a84e81b4,48000,47040,6720,5411.607,0.18613361,18853.795,0.36163855,6192.9478,1.1493385,3.0475295,46.61793,0.0012121456
f9657f063,48000,53760,6720,4632.134,0.32051972,18654.018,0.3093484,6040.0166,1.3958857,3.6889474,70.27621,0.001666418
1630a5b9e,48000,60480,6720,3735.9512,0.9264596,17041.518,0.24939786,5122.07,1.8311584,5.5485106,52.012554,0.0026154644
5f45e0dec,48000,67200,6720,4300.0386,0.54662496,18139.285,0.28563273,5402.0645,1.6012323,4.6188912,49.39889,0.0020297535
eb47b4fe1,48000,73920,6720,4603.6895,0.31512284,18563.393,0.31493726,5918.7686,1.4117801,3.78435,68.279175,0.0017320442
225834e8c,48000,80640,6720,5802.8716,0.24203168,18972.545,0.37113145,6411.787,0.9467853,2.6178837,58.734947,0.0013831303
36f811f37,48000,87360,6720,5697.832,0.4824048,18191.295,0.3496285,5752.5674,0.9875349,2.9828186,41.2983,0.0020028653
1f2c014a5,48000,94080,6720,5413.7236,0.22687984,18838.84,0.36342868,6177.193,1.1107053,3.0057693,61.324833,0.001315831
e82f91e08,48000,100800,6720,5326.3145,0.15913841,19020.535,0.3660081,6337.48,1.1467623,2.9746141,56.298622,0.0010986851
a309a7970,48000,107520,6720,5248.98,0.19282466,18964.732,0.35318443,6317.26,1.1762364,3.0521886,65.82106,0.0012534448
40eef2567,48000,114240,6720,2462.4707,7.407007,12281.696,0.14579397,4123.6763,3.1773882,14.127398,121.65032,0.010026113
45bccd7f8,48000,120960,6720,1509.0409,31.64461,5701.3394,0.06483873,2858.0386,4.7932425,27.28672,214.54144,0.026535042
1df6f0c37,48000,127680,6720,1112.7678,670.3955,2180.8035,0.029327102,1891.0559,7.535732,67.41656,279.1868,0.078181945
26b66d7b8,48000,134400,6720,1270.8784,1891.813,1919.8661,0.02317503,1565.9845,8.569816,91.644005,93.76156,0.08379047
6463ef45f,48000,141120,6720,1510.7053,1166.2012,4391.741,0.04934468,2427.499,5.5453696,38.240276,116.98646,0.055882834
751928046,48000,147840,6720,1459.663,1315.7893,2965.1785,0.03444653,1890.2545,6.822991,57.555683,136.05722,0.07182065
42b33cd32,48000,154560,6720,1193.2202,195.65584,2537.5,0.034883916,2068.7825,6.690445,53.908436,167.29807,0.043997854
c10d47f4d,48000,161280,6720,867.6927,255.39423,1228.125,0.0134583805,1314.4586,10.70209,137.05438,372.92972,0.18386719
a63ef225b,48000,168000,6720,968.765,3060.5942,1419.6428,0.015632445,1344.8649,10.028415,123.94627,211.78448,0.13367638
508a71669,48000,174720,6720,1135.9132,338.2564,2122.991,0.027227903,1810.0924,7.7083855,72.47252,94.37606,0.04731183
e996eacd5,48000,181440,6720,1459.1222,74.79663,5144.4194,0.0573926,2689.6711,5.088058,31.46292,121.26512,0.02221121
5e689b54a,48000,188160,6720,1079.1486,337.50186,2257.5894,0.027578171,1857.5482,7.4618015,65.836754,322.92996,0.09102285
b7021ab46,48000,194880,6720,1033.6404,330.67963,2328.125,0.029499494,1963.2751,7.312142,63.630077,305.05963,0.083005376
22d87cf1f,48000,201600,6720,1143.4485,96.55489,3320.5356,0.041535966,2320.9705,6.233058,47.21329,261.9326,0.052569453
add56bcce,48000,208320,6720,1113.4751,99.11983,3182.1428,0.04142326,2380.776,5.935453,41.50011,236.62273,0.042787775
c17e64084,48000,215040,6720,1207.2253,1303.4646,2227.2322,0.024909846,1669.262,7.8636093,77.15448,102.37374,0.07503639
8dcbe9c45,48000,221760,6720,1349.7976,175.72969,3207.1428,0.039287854,2150.7295,6.3301654,48.40332,141.82306,0.039158184
d929f4708,48000,228480,6720,1116.5944,279.3651,2055.8035,0.030736774,2063.5725,6.9767356,56.430878,148.20113,0.042991973
8d57f80fb,48000,235200,6720,940.62164,184.56766,1730.3572,0.027230863,1966.0319,7.4487295,64.29367,298.4624,0.07279851
3483b2a71,48000,241920,6720,978.2125,169.25659,1820.3125,0.024553472,1853.9375,7.928197,72.68139,334.48126,0.099600434
9ed2c04b5,48000,248640,6720,815.8866,634.9644,1238.1697,0.01277547,1334.8201,10.819297,141.71802,344.8317,0.1781028
b9a723073,48000,255360,6720,906.7475,3043.694,1339.7322,0.012485095,1261.1381,11.050308,149.94766,244.43144,0.19081356
a11596dca,48000,262080,6720,1148.3628,1342.0619,2000.8928,0.022066042,1627.897,7.9484806,77.91692,138.87247,0.10187082
4c3cbdba2,48000,268800,6720,1303.2091,105.98629,3550.4465,0.042545345,2498.323,5.8321605,40.524014,102.968025,0.027139392
490cee340,48000,275520,6720,1844.0029,331.0365,9464.732,0.086150885,3467.7998,4.179587,23.088566,97.807236,0.021785881
