id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
acc1bc134,48000,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f932e5dcb,48000,4800,4800,3644.1226,2.5937725e-06,6504.375,0.241636,1896.2916,-0.06599962,0.5878784
8598c7a42,48000,9600,4800,6743.628,0.24287994,18697.812,0.46499497,5785.795,0.862361,3.0767362
ced825a93,48000,14400,4800,3968.0083,30.74263,14580.313,0.22003803,4720.2065,1.4934198,4.735159
9b8648455,48000,19200,4800,4211.8433,9.752777,15666.873,0.23698907,5059.7935,1.3490666,4.086223
d8fe2df75,48000,24000,4800,4245.195,4.9722323,15893.75,0.24492915,4992.658,1.3959961,4.264743
c1d3a00a7,48000,28800,4800,3498.4287,5.2172575,13533.125,0.20298587,4406.042,1.7719963,5.9207363
b5372a35d,48000,33600,4800,3784.9268,3.9980671,13356.25,0.21111439,4278.095,1.7954395,6.230821
62042e990,48000,38400,4800,3143.74,2.1649506,15026.875,0.2019971,4610.5415,2.0890903,6.952341
797f64f08,48000,43200,4800,3605.0518,1.0990452,17180.625,0.24184717,5172.2197,1.8138834,5.419549
25813aba6,48000,48000,4800,4621.402,1.216057,17205.623,0.28397837,5249.869,1.3772216,4.1852455
0be9063ae,48000,52800,4800,4961.946,1.2078662,17394.375,0.30178154,5294.2856,1.2741152,3.874255
aa9e8d070,48000,57600,4800,4078.4475,1.0868152,17050.312,0.26976308,5144.4165,1.6080738,4.792218
8aa55b943,48000,62400,4800,1775.1377,7230.17,7493.4375,0.09664624,2688.5376,7.519735,117.24558
152319b0d,48000,67200,4800,972.4711,149.63484,5012.1875,0.053480454,2567.0317,5.1074505,35.773273
b54ba67da,48000,72000,4800,1805.1233,12.783078,9089.0625,0.10810852,3635.9834,2.9170675,12.0692625
9a98796c4,48000,76800,4800,1902.4213,5.8141403,12270.9375,0.12291795,4144.487,2.9174852,11.189255
fd1665e39,48000,81600,4800,2028.7598,4.7467203,12397.8125,0.13174474,4157.615,2.833526,10.794765
8a949e4d4,48000,86400,4800,4140.2188,119.85625,11777.5,0.14791574,4121.2173,1.3513985,5.4964585
42bf48c9f,48000,91200,4800,1820.7458,124.08258,8031.25,0.066955805,3256.1055,2.771589,11.645891
