index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
0,48000,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,acc1bc134
4800,48000,4800,959.61865,7.903144e-11,1672.5,0.068028644,437.75406,-8.535278e-06,0.17878862,fbac4cef0
9600,48000,4800,5687.531,0.24840543,17035.0,0.40869018,5380.0864,1.219454,4.40634,3ff73b144
14400,48000,4800,2871.4353,7.650599,13442.5,0.18768628,4426.322,2.175726,7.4813247,b24182909
19200,48000,4800,2692.5142,3.1684158,14954.063,0.18713476,4656.902,2.2694492,7.6044035,49e7d733d
24000,48000,4800,3033.151,0.9966577,16734.062,0.21349202,5036.864,2.0500696,6.3331757,79dc0e19f
28800,48000,4800,2958.1072,0.8127833,17171.25,0.20609884,5152.8237,2.0799499,6.343673,e6f8d07c1
33600,48000,4800,3101.0107,0.93437785,17620.625,0.21394928,5292.2056,1.9978975,5.9473276,e53f32cb4
38400,48000,4800,3133.7107,0.66607857,17282.188,0.22039932,5200.166,1.9909539,5.99778,f0e70b7cd
43200,48000,4800,2949.6768,0.9498366,16402.188,0.20475568,4975.9434,2.1333308,6.7733407,6744e9408
48000,48000,4800,2970.1328,1.3649045,16897.188,0.2029495,5140.0645,2.119674,6.6168947,f30cc8607
52800,48000,4800,3326.326,1.0076561,17182.188,0.22871546,5195.4277,1.8751673,5.610109,a6ccddb03
57600,48000,4800,3617.2634,29.979252,12366.5625,0.16196156,4137.3877,1.641245,5.743808,c8123c036
62400,48000,4800,2024.3583,15.448042,9625.9375,0.10379186,3635.245,2.9805763,12.707033,72efd1033
67200,48000,4800,1938.8718,39.134323,10711.25,0.12081677,3700.0012,3.157265,13.903244,883509374
72000,48000,4800,3021.8398,10.944845,12905.0,0.15304309,4364.829,2.028951,7.0882373,9ce38ad52
76800,48000,4800,2502.2327,90.80292,12256.875,0.14467718,4142.9854,2.4596581,9.064868,aad67ef76
81600,48000,4800,2024.3496,1922.0115,8996.875,0.07836997,3229.6213,2.8119981,12.817791,9fe40f24d
86400,48000,4800,1554.7365,28.30985,7721.25,0.07729239,3181.5967,3.5717607,17.50027,7bbbb4a49
91200,48000,4800,2383.5173,17.930685,11282.5,0.12900084,4022.2234,2.528235,9.940976,61a3355d1
96000,48000,4800,1707.4398,17.169664,7681.25,0.069715485,3259.4,3.4142,16.802416,401d30a3a
100800,48000,4800,2169.779,29.448036,9671.875,0.11475507,3731.0732,2.8620167,12.269432,982d76380
105600,48000,4800,3186.3855,57.13194,10142.8125,0.0944964,3733.7517,1.9902598,8.690768,72590e513
110400,48000,4800,2329.5012,15.889956,9264.0625,0.10092692,3580.928,2.7748837,12.018081,d6a2697c9
115200,48000,4800,2213.2473,37.808815,9431.5625,0.10123895,3664.8691,2.7376962,11.544544,1192b77dc
120000,48000,4800,1979.5233,4.7825284,11361.5625,0.11828421,3970.598,3.0223982,12.155802,1d0201411
124800,48000,4800,2683.5518,28.630095,11395.625,0.13441758,4041.276,2.2894597,8.761185,b75b1d18a
129600,48000,4800,1948.44,4.196881,10966.25,0.108652025,3840.9346,3.1993816,13.430301,169919199
134400,48000,4800,3164.5117,22.10584,13352.8125,0.1684854,4429.4243,1.8835063,6.3374333,2d4ecee27
139200,48000,4800,1783.4485,18.406082,8252.1875,0.077148676,3451.1523,3.257854,14.740409,07997cc7e
144000,48000,4800,2815.1682,17.688583,12885.625,0.15501693,4306.6504,2.170954,7.638613,40644a2ea
148800,48000,4800,2195.6467,37.135555,8729.375,0.08353145,3509.1711,2.790338,12.542979,527223155
