id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
deb1e4f35,48000,0,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf41d9b4e,48000,2880,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2537b5993,48000,5760,2880,1866.6361,6.9220384e-08,3459.8958,0.12792416,1054.2571,-0.0091975285,0.29238737
5c3d909e4,48000,8640,2880,8641.88,0.6051738,20940.104,0.5368502,6585.497,0.5936326,2.6657095
29b210c72,48000,11520,2880,5152.541,14.894447,19311.459,0.16272439,6089.2876,1.3776838,3.7240024
f09a52688,48000,14400,2880,6580.339,50.4014,19667.709,0.17584956,7092.946,0.9022761,2.289004
e617b459c,48000,17280,2880,5126.5786,73.92847,19173.959,0.16601087,5736.878,1.3004869,3.709451
7791193aa,48000,20160,2880,4937.3267,91.21463,19576.041,0.14472778,5529.4165,1.4312812,4.2166734
57cce8605,48000,23040,2880,5012.2446,114.97441,19680.729,0.12802044,5646.4287,1.4809096,4.28625
9db2abc55,48000,25920,2880,5062.0566,111.880936,19669.271,0.12648438,5482.5293,1.4847348,4.4124985
ffb5be949,48000,28800,2880,4998.025,107.919685,19675.521,0.14340971,5672.3696,1.4445825,4.1386676
2c90db0a8,48000,31680,2880,4876.337,134.1968,19672.396,0.13506855,5513.572,1.5091224,4.478386
9e189ff41,48000,34560,2880,4259.749,259.39096,17734.375,0.12339557,5027.083,1.6699402,5.367328
c2a042f2e,48000,37440,2880,3957.6892,228.80144,12641.667,0.116484135,4235.3037,1.7750292,6.478151
10375ab15,48000,40320,2880,3781.0244,332.62424,14942.1875,0.10765941,4546.133,1.9311022,6.719983
2d09a226d,48000,43200,2880,3704.0286,332.6551,13263.0205,0.11183857,4293.5947,1.9452847,7.0517774
d3a320fb0,48000,46080,2880,4026.5713,430.6677,14725.0,0.1056125,4474.64,1.9136701,6.828075
2b2f764b1,48000,48960,2880,4086.995,350.68088,14958.333,0.1262189,4463.204,1.8186538,6.38181
532b200b7,48000,51840,2880,4173.2866,308.09296,15202.6045,0.1311237,4580.569,1.738532,5.9900284
7e0e34da8,48000,54720,2880,3752.7747,453.54514,11647.3955,0.111464955,4126.4556,1.8524061,6.8917007
0c6b3da81,48000,57600,2880,3732.7375,392.44336,11281.25,0.11980564,4071.0742,1.7643301,6.524109
b8db5afba,48000,60480,2880,3644.454,384.3686,12633.333,0.121591434,4259.498,1.8313373,6.519358
0808576f7,48000,63360,2880,3429.1338,572.7216,11304.167,0.1125867,4010.2288,1.8967345,7.07738
ebb79ecc6,48000,66240,2880,4015.8284,435.49835,14281.25,0.12918708,4452.753,1.7926191,6.2865953
a6bcd8de5,48000,69120,2880,3686.6667,478.91763,11324.4795,0.1191401,3991.9365,1.8575318,6.9711833
