id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
26f6907f3,48000,0,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62c4f6ac9,48000,2880,2880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0d4cf13b2,48000,5760,2880,1866.6361,6.9220384e-08,3459.8958,0.12792416,1054.2571,-0.0091975285,0.29238737,0.57475173,1.430861e-07
5d4e1e1da,48000,8640,2880,8641.88,0.6051738,20940.104,0.5368502,6585.497,0.5936326,2.6657095,28.490467,0.0008152698
4aae10a00,48000,11520,2880,5152.541,14.894447,19311.459,0.16272439,6089.2876,1.3776838,3.7240024,63.055134,0.0135764545
672257e0d,48000,14400,2880,6580.339,50.4014,19667.709,0.17584956,7092.946,0.9022761,2.289004,35.53499,0.02237028
917f20908,48000,17280,2880,5126.5786,73.92847,19173.959,0.16601087,5736.878,1.3004869,3.709451,37.106537,0.028939638
b8a5b5ef0,48000,20160,2880,4937.3267,91.21463,19576.041,0.14472778,5529.4165,1.4312812,4.2166734,37.96841,0.03334749
3fd394522,48000,23040,2880,5012.2446,114.97441,19680.729,0.12802044,5646.4287,1.4809096,4.28625,54.70459,0.044151243
a5cfe4396,48000,25920,2880,5062.0566,111.880936,19669.271,0.12648438,5482.5293,1.4847348,4.4124985,67.59229,0.049842633
de78acade,48000,28800,2880,4998.025,107.919685,19675.521,0.14340971,5672.3696,1.4445825,4.1386676,43.74423,0.039284814
9031b7c1c,48000,31680,2880,4876.337,134.1968,19672.396,0.13506855,5513.572,1.5091224,4.478386,45.958744,0.043727037
155a4bb55,48000,34560,2880,4259.749,259.39096,17734.375,0.12339557,5027.083,1.6699402,5.367328,45.053677,0.04852189
a92fba25f,48000,37440,2880,3957.6892,228.80144,12641.667,0.116484135,4235.3037,1.7750292,6.478151,75.57539,0.06572123
05f0b10e6,48000,40320,2880,3781.0244,332.62424,14942.1875,0.10765941,4546.133,1.9311022,6.719983,65.05678,0.06863999
728db662e,48000,43200,2880,3704.0286,332.6551,13263.0205,0.11183857,4293.5947,1.9452847,7.0517774,64.16371,0.067353256
449ebc6cd,48000,46080,2880,4026.5713,430.6677,14725.0,0.1056125,4474.64,1.9136701,6.828075,71.207085,0.08198216
aada18385,48000,48960,2880,4086.995,350.68088,14958.333,0.1262189,4463.204,1.8186538,6.38181,44.844616,0.05892298
0b2b7eba5,48000,51840,2880,4173.2866,308.09296,15202.6045,0.1311237,4580.569,1.738532,5.9900284,42.073757,0.059047475
abe86e7e3,48000,54720,2880,3752.7747,453.54514,11647.3955,0.111464955,4126.4556,1.8524061,6.8917007,41.60675,0.06542627
1a18191fb,48000,57600,2880,3732.7375,392.44336,11281.25,0.11980564,4071.0742,1.7643301,6.524109,29.700535,0.05702709
2c709f8f9,48000,60480,2880,3644.454,384.3686,12633.333,0.121591434,4259.498,1.8313373,6.519358,33.484898,0.06622004
dd464a084,48000,63360,2880,3429.1338,572.7216,11304.167,0.1125867,4010.2288,1.8967345,7.07738,36.328773,0.07680367
19b6e3cae,48000,66240,2880,4015.8284,435.49835,14281.25,0.12918708,4452.753,1.7926191,6.2865953,29.451427,0.06579426
4c79a672b,48000,69120,2880,3686.6667,478.91763,11324.4795,0.1191401,3991.9365,1.8575318,6.9711833,31.47502,0.06511668
0376ad21d,48000,72000,2880,3881.3604,511.50372,14033.8545,0.11686736,4334.462,1.9790015,7.1372313,34.258236,0.073170595
a27faec3b,48000,74880,2880,3889.7502,451.69562,15875.5205,0.11062012,4502.377,2.0501578,7.1861777,37.530674,0.07688849
5be0d0533,48000,77760,2880,3889.4136,406.35596,14095.3125,0.116596155,4337.898,1.9897902,7.14002,31.75573,0.067033865
93660437b,48000,80640,2880,3848.2659,503.03116,16050.0,0.11895622,4686.5605,1.9075282,6.4459786,36.841667,0.07229384
860fb3046,48000,83520,2880,3963.9111,470.34192,14623.958,0.13196181,4486.139,1.7806022,6.189662,32.882282,0.0611126
58a940273,48000,86400,2880,4174.95,374.9533,15833.333,0.13005218,4646.4897,1.7293897,5.898224,38.20852,0.066464156
1dec4a145,48000,89280,2880,4181.903,382.97366,14230.208,0.13080572,4496.585,1.6231277,5.682817,37.344666,0.06362715
8e13b93b8,48000,92160,2880,4630.011,369.51428,17057.291,0.14234377,4880.873,1.5254123,5.0609674,33.02323,0.05878228
7f8af9e5b,48000,95040,2880,4324.25,392.61017,15957.292,0.13508777,4767.8804,1.5712959,5.261279,46.237385,0.070661835
79170d842,48000,97920,2880,4304.3213,335.97968,14133.333,0.14654465,4471.8647,1.4755656,5.150949,42.520634,0.062006008
7070c5813,48000,100800,2880,4664.638,397.2235,15008.333,0.1509277,4564.88,1.4236586,4.9908733,33.95471,0.05786987
0d7f77c5d,48000,103680,2880,4332.645,517.042,14815.625,0.13172735,4595.436,1.566626,5.4690275,47.02858,0.07944171
0f61e5fa6,48000,106560,2880,4079.1362,671.9368,14210.417,0.12754366,4572.1377,1.6168932,5.5851293,54.60827,0.08700679
b17119b1d,48000,109440,2880,4332.691,533.8578,14601.5625,0.14144665,4564.1333,1.5194153,5.2332463,32.939857,0.068159275
c44d9ea74,48000,112320,2880,4226.0117,605.8803,14536.9795,0.14158009,4607.4956,1.5019057,5.057523,36.070137,0.07204767
200414020,48000,115200,2880,4000.7617,715.5013,13882.292,0.13856688,4548.2646,1.5079638,5.0749683,45.59626,0.07930278
e6fdb4d05,48000,118080,2880,4308.491,698.9252,14797.917,0.14338054,4622.7544,1.4662548,4.971227,44.598618,0.07232033
905e707be,48000,120960,2880,3932.3486,775.07086,13448.4375,0.13608405,4457.063,1.4872626,5.041769,55.77318,0.08603423
0a71a782c,48000,123840,2880,4151.991,735.60114,13758.8545,0.1385177,4458.308,1.4587052,4.992956,40.96256,0.08114775
39b0bb8e8,48000,126720,2880,4587.515,476.89713,15920.3125,0.14242448,4711.78,1.4358978,4.8856096,35.79393,0.07714655
a5c2542f1,48000,129600,2880,4964.48,784.0405,16641.146,0.14460976,4810.6045,1.2995008,4.47799,29.762413,0.07730974
d64df9fe6,48000,132480,2880,5013.808,685.74817,16733.854,0.15678917,4925.614,1.2380617,4.147803,43.51189,0.0838934
5c35b9aa8,48000,135360,2880,5211.2617,641.5388,17196.354,0.16362177,4967.858,1.2179261,4.04928,29.59368,0.072919436
2aa70d32e,48000,138240,2880,5494.748,549.94073,17035.938,0.16768993,4907.202,1.1372781,3.9021456,25.32411,0.06754305
af45b503d,48000,141120,2880,5381.8423,651.7668,17184.896,0.15614197,5039.5337,1.1332266,3.8199456,39.01406,0.083417
642cc94f8,48000,144000,2880,5512.811,690.0231,17402.084,0.1655889,5124.692,1.0870335,3.6370103,31.622927,0.08041181
4890d4702,48000,146880,2880,5464.87,737.40393,17302.084,0.16353402,5106.33,1.0627797,3.5813694,30.993256,0.084422156
d9923ebd8,48000,149760,2880,5319.3105,709.10095,16326.5625,0.15875386,4852.6016,1.0244716,3.661981,29.510895,0.08889994
6ef680e4d,48000,152640,2880,5305.613,989.19946,16692.188,0.14693592,4946.5957,1.039112,3.7185466,36.22137,0.10444425
812ec6e7a,48000,155520,2880,5618.438,1135.9386,16787.5,0.1516001,4926.874,0.95661926,3.5383327,31.729486,0.09732078
1343ec3e6,48000,158400,2880,5385.0,1313.0756,15247.917,0.13550973,4775.2305,0.9285543,3.5947628,39.43204,0.12087947
86a8126eb,48000,161280,2880,5747.638,1094.6562,16250.5205,0.14170891,4794.7456,0.85527545,3.5139914,33.56984,0.10248876
617564238,48000,164160,2880,5666.633,1073.1378,16135.9375,0.15145245,4780.9297,0.8961192,3.5602078,35.499233,0.09923004
cf137ca4f,48000,167040,2880,5479.4194,941.0393,15981.25,0.16425231,4829.9263,0.9461851,3.4680786,29.786062,0.08636497
