id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis
acc1bc134,48000,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbc07b78e,48000,4800,4800,3504.8691,7.798155e-06,6548.125,0.23334622,1991.1609,-0.028150234,0.5625869
957e6011f,48000,9600,4800,5891.7656,9.299765,19678.75,0.26315305,6246.264,1.2054216,3.4466724
2f9dedb61,48000,14400,4800,6039.9033,55.226707,19614.373,0.17201607,6614.432,1.0500346,2.7934577
cba4a55f0,48000,19200,4800,4974.592,89.76017,19373.75,0.14659466,5553.1343,1.422503,4.1637588
224e8e408,48000,24000,4800,5016.6323,120.45303,19672.5,0.1260451,5525.353,1.4872756,4.391109
5d2d5c939,48000,28800,4800,4910.4746,119.81047,19672.5,0.13945012,5611.801,1.4782417,4.2922173
8114c0caa,48000,33600,4800,4383.481,232.97115,17265.0,0.1256286,4993.83,1.6510122,5.366209
81bd633a9,48000,38400,4800,3829.7393,284.97824,13862.1875,0.110531695,4391.046,1.8686117,6.651083
95e285ead,48000,43200,4800,3834.5566,355.40027,13858.438,0.108939566,4355.062,1.9481177,7.03362
3a4c07e7b,48000,48000,4800,4106.6904,369.28415,15173.125,0.12475791,4529.2944,1.7961472,6.256463
3564f629f,48000,52800,4800,3904.9468,400.7007,12846.25,0.11805772,4278.721,1.8168632,6.595953
6099ebbd2,48000,57600,4800,3735.4717,369.7221,11919.375,0.12165298,4152.4946,1.7822922,6.484082
909b9017e,48000,62400,4800,3540.8333,533.7174,11984.375,0.11718059,4132.5957,1.8728995,6.8547006
dc0904b94,48000,67200,4800,3828.9883,454.9302,12590.9375,0.122552976,4186.204,1.8303401,6.688392
34b020bc6,48000,72000,4800,3869.404,509.04678,14780.313,0.113973595,4408.052,2.0083601,7.15477
9c012144f,48000,76800,4800,3878.1804,400.78592,14721.25,0.11582346,4419.302,1.9939777,7.061526
d1a766de2,48000,81600,4800,3936.037,495.92432,15305.625,0.12720393,4581.1094,1.82191,6.243146
c716b752f,48000,86400,4800,4152.698,398.45575,15217.5,0.12993497,4600.06,1.6893841,5.808741
d53809ac0,48000,91200,4800,4524.634,368.7737,16484.375,0.13822213,4802.9883,1.5511118,5.2042522
4802301c5,48000,96000,4800,4291.929,346.38922,14625.0,0.14274338,4555.167,1.5143785,5.2195487
3409729d5,48000,100800,4800,4548.9126,421.33536,15046.875,0.14328189,4593.344,1.4756994,5.151793
2b7b44e16,48000,105600,4800,4194.651,634.7105,14429.063,0.13256906,4575.879,1.5912739,5.507387
29ee458c0,48000,110400,4800,4237.5103,579.5183,14427.813,0.14008431,4573.2275,1.5101256,5.142299
b4f067c62,48000,115200,4800,4132.418,718.8557,14342.187,0.1403317,4601.3354,1.4885393,5.010363
6c0297cea,48000,120000,4800,3980.1316,761.4313,13436.562,0.1361777,4433.13,1.4868579,5.079257
