id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
d30a270c1,48000,0,4800,1438.0679,181.91437,6875.7715,0.074716724,2885.3772,4.290804,25.302414,132.75227,0.03580237
79eafff84,48000,4800,4800,1026.6719,170.66588,3572.3875,0.03782402,2074.7183,5.7914357,43.012962,165.46927,0.07237861
e8f352b2e,48000,9600,4800,1205.8704,30.673079,5332.339,0.052847482,2506.5408,4.7636766,29.049625,172.5203,0.052194994
8641ab0e4,48000,14400,4800,1521.5828,20.83216,7437.348,0.07149822,2884.304,3.947846,20.504385,113.69649,0.030325549
4494c3159,48000,19200,4800,1622.1942,16.245758,7633.8574,0.072611086,2884.7808,3.814117,19.419859,141.51456,0.032392405
8eb25ad2b,48000,24000,4800,1632.3174,13.643387,7698.135,0.082430616,3019.0662,3.6888213,18.297918,75.63913,0.022228686
6d28ebc42,48000,28800,4800,1691.0449,16.948347,7719.302,0.086802445,3118.9128,3.6469197,17.746067,59.853104,0.018649867
50259a8b3,48000,33600,4800,1404.0394,18.549068,6903.501,0.07056367,2873.1326,4.1354003,22.09333,155.63144,0.03292999
566931a37,48000,38400,4800,1162.0012,17.6344,5148.808,0.052625768,2500.9663,4.8706374,29.986296,190.3021,0.053704314
0d45c49d2,48000,43200,4800,1307.4055,20.07694,6466.216,0.05982264,2665.892,4.238392,23.95455,205.46529,0.059048068
5fc25e550,48000,48000,4800,1479.9332,18.118116,7301.9824,0.07222929,2867.475,3.7280216,19.04275,182.32736,0.043628953
bea8cec35,48000,52800,4800,1478.2037,19.167353,7187.5635,0.074443966,2904.4448,3.9056926,20.296331,118.79048,0.02998607
2bd81ebce,48000,57600,4800,1567.2686,16.919022,7659.0386,0.08080672,3061.6147,3.7510216,18.517885,79.0671,0.023927657
50c815b68,48000,62400,4800,1699.8575,15.070582,8203.945,0.09350417,3212.497,3.5490372,16.719349,72.63491,0.017617064
471974355,48000,67200,4800,1730.9979,12.489691,8499.814,0.098909646,3338.9182,3.4526343,15.704424,75.04881,0.015941093
6c140f6f9,48000,72000,4800,1757.9437,13.398567,8651.997,0.101118185,3398.9287,3.4142342,15.350567,70.6319,0.01484962
6deb2d05f,48000,76800,4800,1479.6577,13.1138735,7436.1626,0.08007412,3058.7202,3.961897,20.045177,123.502815,0.02285002
