id,sr,index,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,crest,rms
4efb6f653,48000,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78c36853e,48000,4800,4800,3289.9421,0.00048245565,8331.25,0.22222498,3111.2854,0.14545627,0.67287576,22.937878,2.2072096e-05
95c73879d,48000,9600,4800,2398.5808,194.81166,11388.125,0.15770398,4076.674,2.8559864,11.996754,62.34828,0.022548594
7bdfa125e,48000,14400,4800,1608.4738,1125.3639,7110.625,0.06459949,2854.8582,3.6882873,18.947361,53.474537,0.09498268
d921ec6cc,48000,19200,4800,2048.6401,2574.6587,8177.8125,0.072833836,3206.2124,3.1844754,14.900729,58.182358,0.17315716
b1bac43fb,48000,24000,4800,2630.571,903.8992,10888.4375,0.10722132,3877.4033,2.1951828,8.159382,113.78029,0.10578513
59fc9fdff,48000,28800,4800,2757.7625,2720.243,9603.75,0.08669207,3450.2563,2.2582195,9.556928,76.420685,0.21237408
c182db6c8,48000,33600,4800,3315.2837,2387.4524,9932.5,0.09508997,3475.4297,2.146208,10.39611,55.098476,0.17341354
feab15eb4,48000,38400,4800,1957.3016,3163.535,7765.9375,0.061929658,2996.2568,3.444822,18.566969,60.006172,0.17786494
8f63f3d1d,48000,43200,4800,2343.2505,1480.5754,11203.4375,0.096598156,3775.8008,2.6566486,10.146424,68.89037,0.13764845
6e86c197f,48000,48000,4800,1755.9257,2152.4275,8380.9375,0.07098519,3205.89,3.3686926,15.881628,62.09116,0.15243682
94551fee6,48000,52800,4800,1366.2555,8396.014,5770.9375,0.04363723,2507.1917,3.954644,23.10711,133.57982,0.36398885
99c2ce718,48000,57600,4800,1505.9927,2480.6016,6151.25,0.048452172,2686.86,3.4713607,19.300566,172.79823,0.3303013
d5f741f6d,48000,62400,4800,1636.0067,5698.894,6340.0,0.055669606,2769.5188,3.5351222,20.091537,117.774345,0.23450571
f0d34c5f7,48000,67200,4800,1433.4694,1466.674,7470.3125,0.06276338,2918.9653,3.6018534,18.033525,138.40572,0.17749795
5b24c7363,48000,72000,4800,1354.4635,813.7161,7129.6875,0.06161602,2844.5107,3.775227,19.222279,158.49866,0.12511362
aa432363f,48000,76800,4800,1555.1206,3104.0476,6952.8125,0.056872055,2855.7166,4.0727477,23.259048,72.665245,0.18408814
ae4b24572,48000,81600,4800,1403.9637,714.242,5882.8125,0.048807435,2582.8772,4.371869,25.743097,104.98996,0.16277176
21418b045,48000,86400,4800,1604.1488,2785.17,7591.25,0.06438347,2996.5166,3.5030403,16.872568,92.80608,0.15484028
3909ce947,48000,91200,4800,3216.0237,1015.10815,12185.625,0.11185318,3983.0125,1.8625336,6.785413,53.41537,0.1031637
3cb15f4d5,48000,96000,4800,1693.3812,2140.7517,7113.125,0.068003744,2930.8857,3.831246,21.291462,83.3155,0.12555371
2893ed214,48000,100800,4800,2306.7307,5618.724,8790.625,0.078734934,3210.1511,2.972142,14.602035,56.759525,0.19539034
75f73b5b8,48000,105600,4800,1785.8181,2450.6287,7152.1875,0.05529667,2972.9712,3.0496116,14.337849,80.01101,0.15203309
3cd87fdd9,48000,110400,4800,1360.6384,4544.034,7196.5625,0.057522036,2889.17,3.6462898,18.329607,101.5578,0.17894839
d6bfeb83a,48000,115200,4800,1269.156,2063.9187,6473.125,0.05292352,2679.8362,4.17122,23.175848,105.81204,0.13633518
41aea82ec,48000,120000,4800,1510.37,749.68304,7277.5,0.06413131,2977.7625,3.676037,18.55042,83.913086,0.09721843
ddfecf1b1,48000,124800,4800,2312.539,1576.2225,9995.9375,0.08858072,3494.9355,2.8382616,12.805116,59.980156,0.107159704
46c329651,48000,129600,4800,1335.088,658.5999,6212.1875,0.056233387,2689.4639,4.261621,23.6686,88.66399,0.08891794
b86433160,48000,134400,4800,1056.7799,1409.8184,5154.375,0.0505017,2508.5698,4.899117,31.93041,116.82287,0.09748652
4315c4c21,48000,139200,4800,1344.344,817.4381,6989.375,0.06351609,2877.5,3.9805667,21.218111,113.04247,0.08712951
bf2485417,48000,144000,4800,755.00885,2220.306,2868.4375,0.0324432,2042.6454,6.0569234,46.375668,131.16338,0.14576449
13a6b3052,48000,148800,4800,1099.665,10497.896,5711.5625,0.051635645,2596.4893,4.70455,28.812805,151.24672,0.19093868
44684e2da,48000,153600,4800,460.90833,1075.7386,1219.375,0.017265575,1510.9912,8.3987,85.78784,350.7265,0.440019
cdfb3d236,48000,158400,4800,727.5483,751.2111,2940.625,0.032417566,2250.094,5.943483,42.344006,322.26828,0.29920125
d5cc8051e,48000,163200,4800,1331.3127,172.11098,8409.6875,0.06188643,3230.6802,4.012097,20.960012,286.41165,0.19530052
201b833e9,48000,168000,4800,1278.0875,141.85187,6622.8125,0.056926474,2711.6675,4.014375,22.53078,255.56271,0.14543462
2b3fe9d12,48000,172800,4800,1372.9965,307.79065,7124.0625,0.05836338,2748.255,3.8267276,21.063108,198.8355,0.12473681
d2e960e06,48000,177600,4800,1236.207,225.37105,6790.9375,0.056020685,2679.1174,4.3647704,26.794031,196.47685,0.10854384
8f44fed8b,48000,182400,4800,2534.5986,459.1974,10902.5,0.11233564,3922.6797,2.7973714,12.605045,133.70859,0.08351083
ea3938c8f,48000,187200,4800,1314.1534,246.25948,7677.5,0.07036576,3046.3713,3.9455574,20.638294,140.02654,0.06565404
4dd9ec950,48000,192000,4800,1686.3143,1040.3228,9691.875,0.08546561,3462.9126,3.117848,13.597387,111.981155,0.0836579
84e0576bc,48000,196800,4800,2185.25,2940.347,10154.375,0.1150458,3539.6443,2.7805233,11.731477,75.969246,0.11790126
9c42a002f,48000,201600,4800,976.04,4908.125,3678.125,0.029354645,1844.8685,5.6753926,49.937748,94.60969,0.20713702
5290e0b63,48000,206400,4800,912.02106,2087.4282,3805.625,0.037812486,2214.977,5.685897,43.172577,92.34763,0.10203304
1092e5b79,48000,211200,4800,992.44604,310.04022,4162.8125,0.04531566,2325.2593,5.30055,35.79233,91.996445,0.057165742
8e466f6ec,48000,216000,4800,1335.7927,826.5046,7118.4375,0.064294145,2984.8813,4.1827507,23.727884,115.70141,0.09245356
2b98937e5,48000,220800,4800,1228.9966,638.6604,6610.0,0.0591155,2706.0518,4.1744466,23.236866,99.830925,0.07457506
88c477d66,48000,225600,4800,1414.5238,687.8743,7498.75,0.06940384,2988.6223,3.9470348,20.27564,92.10044,0.063460685
1770e2fe5,48000,230400,4800,1348.9115,130.32132,7004.375,0.071391694,2929.9841,3.9803386,20.502838,74.51404,0.03841883
53503eed7,48000,235200,4800,1396.6315,144.88853,7116.25,0.07653005,2891.3875,3.9152327,20.60172,80.264755,0.031442955
59450db7a,48000,240000,4800,2015.3977,2678.6995,9208.75,0.079776615,3304.552,3.1093647,13.776976,71.688736,0.11567927
e7730870a,48000,244800,4800,2218.4495,243.76883,12706.875,0.09651306,4017.0742,2.7935617,10.21387,159.72972,0.10448784
ad42527c4,48000,249600,4800,1490.506,158.52896,7148.125,0.058553983,2791.62,4.439192,26.52015,203.44962,0.10428116
8dc8bf182,48000,254400,4800,1368.005,275.46594,6080.0,0.05797381,2626.3896,4.32937,24.80592,132.83601,0.069379285
145281a23,48000,259200,4800,1422.7257,245.19385,4222.1875,0.047551326,2206.8616,4.762494,31.965046,121.40216,0.06297099
3a07d7fa1,48000,264000,4800,1150.2368,271.52374,4513.4375,0.04646947,2294.3772,5.1412153,35.0733,152.84941,0.08168372
da9edc257,48000,268800,4800,1817.3741,70.996414,9675.9375,0.09240261,3465.2095,3.1924505,13.552113,118.89466,0.04424921
b3cdf4a9a,48000,273600,4800,1971.8761,48.885826,10235.3125,0.09923421,3557.46,3.0827448,12.656552,127.809715,0.038265783
74da136cd,48000,278400,4800,1408.7604,100.3689,6534.0625,0.06346832,2679.9712,4.137977,23.178123,135.39513,0.049677137
f7dd1d5ff,48000,283200,4800,1640.2003,65.88021,7807.1875,0.08628305,3087.6985,3.7663264,19.165266,89.36509,0.027950283
3c0d07e39,48000,288000,4800,1847.3116,232.2712,9895.9375,0.09340892,3479.2693,3.1868074,13.576223,75.97571,0.045924876
94f0ab6d3,48000,292800,4800,2425.518,142.79585,12508.4375,0.11690071,4049.3467,2.541044,9.158226,69.8326,0.048576105
78e9e7337,48000,297600,4800,1859.445,395.86472,9948.125,0.0918535,3521.1963,3.2051632,14.320049,95.08311,0.054634742
2ca738be4,48000,302400,4800,2323.7783,3205.3516,8535.0,0.071333416,3009.4666,3.4155989,20.485548,63.91479,0.15584919
b327a5f42,48000,307200,4800,1558.5854,246.4228,7486.25,0.0635051,2848.5122,4.1703615,26.001371,112.540375,0.091946505
fc8241e36,48000,312000,4800,1033.9606,203.17973,4474.375,0.041686423,2183.0408,5.0896873,34.312176,135.4474,0.07917575
fdef5a897,48000,316800,4800,1405.0186,275.81064,7039.6875,0.06487747,2787.0984,4.014099,22.993477,101.1871,0.07386951
be1a94291,48000,321600,4800,1027.1465,167.52783,4418.4375,0.043866538,2232.0376,5.128702,34.564068,98.78846,0.058504824
667986eae,48000,326400,4800,1813.5984,249.62636,8488.4375,0.08220404,3114.9795,3.369152,16.729954,63.814377,0.052183017
0f4512871,48000,331200,4800,1479.2998,102.40531,7332.1875,0.0683807,2762.8914,3.6525667,18.898943,69.1671,0.038463887
ba3211661,48000,336000,4800,1936.2158,102.55013,9539.0625,0.098575756,3436.7463,2.9628618,12.381265,62.999805,0.03510487
21db640b8,48000,340800,4800,2372.5803,200.60928,12224.062,0.11741809,4081.0662,2.5962212,9.609944,70.66755,0.040996656
172d8a29b,48000,345600,4800,3179.4387,254.89218,13642.5,0.14328909,4451.2007,1.9732652,6.5275865,59.524857,0.049007077
0cd5cf0db,48000,350400,4800,2433.1897,10142.618,10685.625,0.111802734,3820.7788,2.7237825,12.210621,118.70924,0.20980497
3dd57d8eb,48000,355200,4800,1226.2582,742.86066,7871.5625,0.056675974,3074.4666,3.792096,18.215273,327.5084,0.37731504
915cb2bfb,48000,360000,4800,1182.7638,285.3736,7431.5625,0.05692248,2981.4194,3.9951339,19.980118,313.84598,0.24099088
66d226872,48000,364800,4800,1837.607,350.64673,9841.875,0.086510874,3564.529,2.9365602,12.023436,216.90752,0.1595074
3a431e7f6,48000,369600,4800,2895.8977,305.2966,12511.25,0.1260171,4187.561,2.1250122,7.580739,153.8849,0.120385185
70ff43454,48000,374400,4800,1596.7959,2067.6938,8547.5,0.07183714,3230.5718,3.4657109,16.038298,119.91082,0.1380248
f2ab00f49,48000,379200,4800,2795.1274,1209.1351,11713.125,0.11509438,4034.4321,2.3918827,9.619689,54.546173,0.094929084
a79582d06,48000,384000,4800,1920.2571,1123.4094,9212.1875,0.090311855,3427.9824,2.8708272,12.040624,78.7795,0.06095558
f016dc898,48000,388800,4800,1816.5302,221.9636,8708.4375,0.09052435,3316.8716,3.217935,14.22966,62.153267,0.04329182
450c24571,48000,393600,4800,2147.7334,318.6312,9295.3125,0.09858547,3442.3474,2.7476125,11.304729,63.081444,0.045144767
1b60e9925,48000,398400,4800,2152.575,3845.055,8990.3125,0.091462635,3402.5317,2.71862,11.955204,79.19535,0.12007807
fa391f396,48000,403200,4800,2165.4866,1859.8181,9317.5,0.08420663,3410.4595,3.100881,13.953403,65.423805,0.12987503
dd770573e,48000,408000,4800,1418.6849,2090.5054,7453.75,0.065175995,2995.9897,3.8302686,19.228312,93.23582,0.11086037
158771d1b,48000,412800,4800,1567.5835,5298.315,7411.25,0.06728396,2861.4329,3.6643083,19.68546,88.05205,0.15506071
5d8a051fe,48000,417600,4800,1305.6223,15349.58,5266.25,0.04120006,2230.3691,4.3438244,27.722454,82.08448,0.3208299
0b8dcb4b4,48000,422400,4800,1073.9675,2058.4585,3845.3125,0.03504262,2077.542,5.4376965,38.848984,142.1121,0.1962474
f4b11a883,48000,427200,4800,1374.1354,7302.054,5454.0625,0.0410928,2227.924,4.5296073,30.101097,144.49986,0.33033988
e532676c6,48000,432000,4800,1427.2715,2267.4011,4699.6875,0.039067667,2195.1033,4.978187,34.03641,113.96155,0.23080315
e5e5c60b0,48000,436800,4800,1084.84,2831.743,3217.1875,0.024106741,1700.6047,6.3901644,57.35194,120.7318,0.29623747
0579c0f93,48000,441600,4800,1350.7716,1000.90344,5723.75,0.037991732,2300.0496,4.4734316,27.02073,103.03265,0.28661203
27cc73597,48000,446400,4800,1024.4219,1780.3192,2606.875,0.023335397,1605.9342,6.456242,56.61655,97.40594,0.23414342
be22c34c2,48000,451200,4800,960.7372,7056.598,3879.375,0.029203221,1932.9083,5.5065446,41.47858,140.68411,0.29759791
86af333a1,48000,456000,4800,805.43555,1253.9686,2458.75,0.021907676,1623.1418,6.982304,65.26638,181.22006,0.2932622
fbdffb96e,48000,460800,4800,920.9067,403.5505,3168.4375,0.031078136,1905.1459,5.916472,46.0831,194.04665,0.20587623
a307f6093,48000,465600,4800,1141.6554,246.73076,5164.0625,0.046303093,2376.8933,4.881525,32.345627,185.24045,0.14053212
627966845,48000,470400,4800,1120.7041,167.80028,4539.0625,0.041601777,2225.307,5.0471554,34.006256,150.72919,0.11980011
ae7bc4358,48000,475200,4800,1629.2241,258.9635,8027.1875,0.07159695,3056.8975,3.6684103,18.68584,128.52386,0.09092553
4c1ddb37f,48000,480000,4800,1324.2042,290.47382,6234.0625,0.05557528,2573.0022,4.200618,23.971523,119.098305,0.0912316
08a26a64c,48000,484800,4800,1517.8107,295.11526,6891.5625,0.06335726,2744.0344,3.9177384,21.364372,95.42245,0.07877298
daf1e450a,48000,489600,4800,1727.9641,210.1985,8084.375,0.07822533,3008.961,3.28784,15.448854,66.348785,0.050762273
20f7f26da,48000,494400,4800,1694.273,266.75916,7581.25,0.07456968,2937.6917,3.366879,16.68754,61.577183,0.05300291
